sps_cmd; nickname; accessname
A00;HG;ch_Tflow_desired
A01;HG;ch_Tflow_measured
A02;HG;ch_Treturn
A03;HG;ch_T3waymixer
A04;HG;ch_mode
A05;HG;ch_burner_fan
A06;HG;ch_burner_operation
A07;HG;ch_burner_power
A08;HG;ch_pump_heating
A09;HG;ch_pump_circulation
A10;HG;ch_pump_cylinder
A11;HG;ch_Toutside
A12;HG;ch_runtime_tot
A13;HG;ch_runtime_ch
A14;HG;ch_starts_tot
A15;HG;ch_starts_ch
A16;HG;ch_errorcode
A17;HG;ch_causecode
A18;HG;ch_pump_heating_power
A19;HG;ch_Thdrylic_switch
A20;HG;ch_system_pressure
A21;HG;hg_unused_21
A22;HG;hg_unused_22
A23;HG;hg_unused_23
A24;HG;hg_unused_24
A25;HG;hg_unused_25
A26;HG;hg_unused_26
B00;HK1;hc1_Tdesired
B01;HK1;hc1_Tmeasured
B02;HK1;hc1_Troom
B03;HK1;hk1_unused_3
B04;HK1;hc1_mixerposition
B05;HK1;hc1_Tflow_mixer
B06;HK1;hc1_Tniveau
B07;HK1;hc1_operationstatus
B08;HK1;hc1_Tflow_desired
B09;HK1;hc1_pump
B10;HK1;hk1_unused_10
B11;HK1;hk1_unused_11
B12;HK1;hk1_unused_12
B13;HK1;hk1_unused_13
B14;HK1;hk1_unused_14
B15;HK1;hk1_unused_15
C00;HK2;hc2_Tdesired
C01;HK2;hc2_Tmeasured
C02;HK2;hc2_Troom
C03;HK2;hk2_unused_3
C04;HK2;hc2_mixerposition
C05;HK2;hc2_Tflow_mixer
C06;HK2;hc2_Tniveau
C07;HK2;hc2_operationstatus
C08;HK2;hc2_Tflow_desired
C09;HK2;hc2_pump
C10;HK2;hk2_unused_10
C11;HK2;hk2_unused_11
C12;HK2;hk2_unused_12
C13;HK2;hk2_unused_13
C14;HK2;hk2_unused_14
C15;HK2;hk2_unused_15
D00;HK3;hc3_Tdesired
D01;HK3;hc3_Tmeasured
D02;HK3;hc3_Troom
D03;HK3;hk3_unused_3
D04;HK3;hc3_mixerposition
D05;HK3;hc3_Tflow_mixer
D06;HK3;hc3_Tniveau
D07;HK3;hc3_operationstatus
D08;HK3;hc3_Tflow_desired
D09;HK3;hc3_pump
D10;HK3;hk3_unused_10
D11;HK3;hk3_unused_11
D12;HK3;hk3_unused_12
D13;HK3;hk3_unused_13
D14;HK3;hk3_unused_14
D15;HK3;hk3_unused_15
E00;HK4;hc4_Tdesired
E01;HK4;hc4_Tmeasured
E02;HK4;hc4_Troom
E03;HK4;hk4_unused_3
E04;HK4;hc4_mixerposition
E05;HK4;hc4_Tflow_mixer
E06;HK4;hc4_Tniveau
E07;HK4;hc4_operationstatus
E08;HK4;hc4_Tflow_desired
E09;HK4;hc4_pump
E10;HK4;hk4_unused_10
E11;HK4;hk4_unused_11
E12;HK4;hk4_unused_12
E13;HK4;hk4_unused_13
E14;HK4;hk4_unused_14
E15;HK4;hk4_unused_15
F00;WW;dhw_Tdesired
F01;WW;dhw_Tmeasured
F02;WW;dhw_Tcylinder
F03;WW;dhw_runtime_ch
F04;WW;dhw_starts_ch
F05;WW;dhw_charge_once
F06;WW;dhw_disinfection
F07;WW;dhw_generating
F08;WW;dhw_boost_charge
F09;WW;dhw_Tok
F10;WW;dhw_pump_cylinder
F11;WW;dhw_pump_circulation
F12;WW;dhw_Tsetpoint_max
F13;WW;dhw_Tsetpoint_min
F14;WW;dhw_mode
F15;WW;dhw_disinfect_mode
F16;WW;dhw_Tsetpoint_normal
F17;WW;ww_unused_17
F18;WW;ww_unused_18
G00;SO;sol_Tcollector1
G01;SO;sol_Tcylinder1_bottom
G02;SO;sol_yield_last_hour
G03;SO;sol_yield_2
G04;SO;sol_pump1
G05;SO;sol_pump_power
G06;SO;sol_runtime
G07;SO;sol_yield_last_day
G08;SO;sol_yield_sum
G09;SO;sol_Thybrid_buffer
G10;SO;sol_Thybrid_sysinput
G11;SO;sol_cylinder1_full
G12;SO;sol_collector1_deactive
G13;SO;sol_ch_optimize
G14;SO;sol_dhw_optimize
G15;SO;sol_3wayvalve_VS1
G16;SO;sol_3wayvalve_VS2
G17;SO;sol_pump2
G18;SO;sol_pump2_power
G19;SO;sol_pump3
G20;SO;sol_pump2_reload
G21;SO;sol_Tcylinder_mid
G22;SO;sol_Tmix_TS4
G23;SO;sol_Tcylinder2_bottom
G24;SO;sol_Theat_exchanger
G25;SO;sol_Tcollector2
G26;SO;sol_Theat_return/SP3
G27;SO;sol_T_SP1/3
G28;SO;sol_T_HCount_flow
G29;SO;sol_T_HCount_ret
G30;SO;sol_HeatCount_volume
G31;SO;sol_T_OptF_sink
G32;SO;sol_T_OptF_source
G33;SO;sol_Hcount_sig
G34;SO;sol_mixerpos_VS3
G35;SO;so_unused_35
G36;SO;so_unused_36
G37;SO;so_unused_37
G38;SO;so_unused_38
G39;SO;so_unused_39
H00;DT;dt_unused_0
H01;DT;dt_unused_1
H02;DT;dt_unused_2
S00;special;hostname
S01;special;os_sys
S09;special;map_dump
